id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
145320,In the middle of it all - with a view!,703851,Kim,,Södermalms,59.31364,18.05256,Private room,1272,2,72,2019-06-25,2.54,1,26
155220,"Stockholm, new spacoius villa",746396,Madeleine,,Skarpnäcks,59.24667,18.17799,Entire home/apt,1203,3,0,,,2,0
155685,Hornstull with water view!,748592,Robert,,Södermalms,59.31535,18.03277,Entire home/apt,3209,4,22,2015-12-01,0.22,1,0
164448,Double room in central Stockholm with Wi-Fi,784312,Li,,Södermalms,59.31268,18.06258,Private room,597,3,311,2019-09-26,3.13,2,140
170651,Petit Charm Rooftop next to heaven,814021,Marie,,Södermalms,59.31568,18.03138,Entire home/apt,734,3,33,2019-09-01,0.33,1,216
206221,Doubleroom at Södermalm &trendySofo,1022374,Elisabeth,,Södermalms,59.31226,18.07942,Shared room,665,3,78,2019-08-13,0.82,1,330
220233,Central apartment perfect for two,1137208,Martina,,Norrmalms,59.33948,18.03551,Entire home/apt,890,3,0,,,1,0
220851,One room in appartement,412283,Fredric,,Kungsholmens,59.33376,18.03816,Private room,597,3,45,2019-08-23,0.46,1,354
242188,Single room in central Stockholm with Wi-Fi,784312,Li,,Södermalms,59.31347,18.06106,Private room,558,2,296,2019-09-26,3.19,2,139
259025,sufficient large room Stockholm nr1,1361093,Ali,,Rinkeby-Tensta,59.38682,17.92276,Private room,196,60,60,2015-11-08,0.63,2,365
259722,Near shopping-IT Business(Bunk bed),1261494,Marcelo,,Rinkeby-Tensta,59.41003,17.9366,Private room,225,21,23,2019-05-13,0.25,1,322
273906,Penthouse in central Stockholm,1432722,Rodrigo,,Södermalms,59.30414,18.1068,Entire home/apt,1957,6,8,2018-07-07,0.09,1,270
274876,Designer apartment innercity Sthlm,1437153,Emma,,Södermalms,59.31849,18.09536,Entire home/apt,3150,4,113,2019-09-22,1.25,1,362
278311,Entire apt (some weeks this summer),1452838,Linnéa,,Farsta,59.24534,18.08729,Entire home/apt,411,1,52,2019-09-06,0.55,1,348
283446,Comfort Stay @ Kista - Super Value!,1476562,Vidhatri,,Rinkeby-Tensta,59.41533,17.91465,Private room,294,2,104,2018-10-28,1.18,1,6
299154,Cosy apartment central at Sodermalm,1541953,Daniel,,Södermalms,59.31767,18.07137,Entire home/apt,1106,2,480,2019-09-27,6.27,1,232
301680,one cosy double room for rent,1554143,Anitta,,Älvsjö,59.27778,17.99226,Private room,753,1,34,2018-07-16,0.39,2,365
302496,"Spacious, bright, unique apartment",1557657,Seta,,Norrmalms,59.34518,18.06044,Entire home/apt,2798,5,65,2019-09-18,0.73,1,267
313195,"Design, style & vintage by Odenplan",956221,David,,Norrmalms,59.34763,18.05015,Entire home/apt,900,3,45,2017-08-13,0.52,1,46
313763,Excellent location in the city center,1533849,Martin P.,,Norrmalms,59.34398,18.04959,Private room,646,2,50,2019-09-03,0.56,1,4
338470,Apartment in the heart of Stockholm,1719449,Gustaf,,Östermalms,59.33742,18.08873,Entire home/apt,1233,3,21,2018-11-22,0.23,1,179
343925,Modern central 1 bedroom flat ,1744774,Annika,,Kungsholmens,59.3366,18.02942,Entire home/apt,753,2,34,2015-05-06,0.37,1,0
347192,"CENTRAL, COSY AND SPACIOUS",1759769,T,,Södermalms,59.31657,18.07675,Entire home/apt,1497,3,41,2019-07-26,0.69,1,13
357012,Gorgeous sunny apt with sea views,1214515,Calle,,Södermalms,59.31973,18.03999,Entire home/apt,1702,3,19,2019-08-03,0.21,1,0
